crop,price_per_tonne,cost_nitrogen_per_kg,cost_phosphorus_per_kg,cost_potash_per_kg,cost_labor_per_ha,cost_machine_per_ha,cost_seed_per_ha,cost_irrigation_per_ha
abaca,10,1,1,1,1,1,1,1
agave,10,1,1,1,1,1,1,1
alfalfa,10,1,1,1,1,1,1,1
almond,10,1,1,1,1,1,1,1
aniseetc,10,1,1,1,1,1,1,1
apple,10,1,1,1,1,1,1,1
apricot,10,1,1,1,1,1,1,1
areca,10,1,1,1,1,1,1,1
artichoke,10,1,1,1,1,1,1,1
asparagus,10,1,1,1,1,1,1,1
avocado,10,1,1,1,1,1,1,1
bambara,10,1,1,1,1,1,1,1
banana,10,1,1,1,1,1,1,1
barley,10,1,1,1,1,1,1,1
bean,10,1,1,1,1,1,1,1
beetfor,10,1,1,1,1,1,1,1
berrynes,10,1,1,1,1,1,1,1
blueberry,10,1,1,1,1,1,1,1
brazil,10,1,1,1,1,1,1,1
broadbean,10,1,1,1,1,1,1,1
buckwheat,10,1,1,1,1,1,1,1
cabbage,10,1,1,1,1,1,1,1
cabbagefor,10,1,1,1,1,1,1,1
canaryseed,10,1,1,1,1,1,1,1
carob,10,1,1,1,1,1,1,1
carrot,10,1,1,1,1,1,1,1
carrotfor,10,1,1,1,1,1,1,1
cashew,10,1,1,1,1,1,1,1
cashewapple,10,1,1,1,1,1,1,1
cassava,10,1,1,1,1,1,1,1
castor,10,1,1,1,1,1,1,1
cauliflower,10,1,1,1,1,1,1,1
cerealnes,10,1,1,1,1,1,1,1
cherry,10,1,1,1,1,1,1,1
chestnut,10,1,1,1,1,1,1,1
chickpea,10,1,1,1,1,1,1,1
chicory,10,1,1,1,1,1,1,1
chilleetc,10,1,1,1,1,1,1,1
cinnamon,10,1,1,1,1,1,1,1
citrusnes,10,1,1,1,1,1,1,1
clove,10,1,1,1,1,1,1,1
clover,10,1,1,1,1,1,1,1
cocoa,10,1,1,1,1,1,1,1
coconut,10,1,1,1,1,1,1,1
coffee,10,1,1,1,1,1,1,1
coir,10,1,1,1,1,1,1,1
cotton,10,1,1,1,1,1,1,1
cowpea,10,1,1,1,1,1,1,1
cranberry,10,1,1,1,1,1,1,1
cucumberetc,10,1,1,1,1,1,1,1
currant,10,1,1,1,1,1,1,1
date,10,1,1,1,1,1,1,1
eggplant,10,1,1,1,1,1,1,1
fibrenes,10,1,1,1,1,1,1,1
